lower,upper,g
0.468377173628426,0,1
0.470837566559751,0,2
0.473297959491076,0,1
0.4757583524224,0,2
0.478218745353725,0,1
0.48067913828505,0,2
0.483139531216375,0,1
0.4855999241477,0,2
0.488060317079024,0,1
0.490520710010349,0,2
0.492981102941674,0,1
0.495441495872999,0,2
0.497901888804324,0,1
0.500362281735648,0,2
0.502822674666973,0,1
0.505283067598298,0,2
0.507743460529623,0,1
0.510203853460948,0,2
0.512664246392272,0,1
0.515124639323597,0,2
0.517585032254922,0,1
0.520045425186247,0,2
0.522505818117572,0,1
0.524966211048896,0,2
0.527426603980221,0,1
0.529886996911546,0,2
0.532347389842871,0,1
0.534807782774196,0,2
0.53726817570552,0,1
0.539728568636845,0,2
0.54218896156817,0,1
0.544649354499495,0,2
0.54710974743082,0,1
0.549570140362144,0,2
0.552030533293469,0,1
0.554490926224794,0,2
0.556951319156119,0,1
0.559411712087444,0,2
0.561872105018768,0,1
0.564332497950093,0,2
0.566792890881418,0,1
0.569253283812743,0,2
0.571713676744068,0,1
0.574174069675392,0,2
0.576634462606717,0,1
0.579094855538042,0,2
0.581555248469367,0,1
0.584015641400692,0,2
0.586476034332016,0,1
0.588936427263341,0,2
0.591396820194666,0,1
0.593857213125991,0,2
0.596317606057316,0,1
0.59877799898864,0,2
0.601238391919965,0,1
0.60369878485129,0,2
0.606159177782615,0,1
0.60861957071394,0,2
0.611079963645264,0,1
0.613540356576589,0,2
0.616000749507914,0,1
0.618461142439239,0,2
0.620921535370564,0,1
0.623381928301888,0,2
0.625842321233213,0,1
0.628302714164538,0,2
0.630763107095863,0,1
0.633223500027188,0,2
0.635683892958512,0,1
0.638144285889837,0,2
0.640604678821162,0,1
0.643065071752487,0,2
0.645525464683812,0,1
0.647985857615136,0,2
0.650446250546461,0,1
0.652906643477786,0,2
0.655367036409111,0,1
0.657827429340436,0,2
0.66028782227176,0,1
0.662748215203085,0,2
0.66520860813441,0,1
0.667669001065735,0,2
0.67012939399706,0,1
0.672589786928384,0,2
0.675050179859709,0,1
0.677510572791034,0,2
0.679970965722359,0,1
0.682431358653684,0,2
0.684891751585008,0,1
0.687352144516333,0,2
0.689812537447658,0,1
0.692272930378983,0,2
0.694733323310308,0,1
0.697193716241632,0,2
0.699654109172957,0,1
0.702114502104282,0,2
0.704574895035607,0,1
0.707035287966931,0,2
0.709495680898256,0,1
0.711956073829581,0,2
0.714416466760906,0,1
0.716876859692231,0,2
0.719337252623556,0,1
0.72179764555488,0,2
0.724258038486205,0,1
0.72671843141753,0,2
0.729178824348855,0,1
0.73163921728018,0,2
0.734099610211504,0,1
0.736560003142829,0,2
0.739020396074154,0,1
0.741480789005479,0,2
0.743941181936804,0,1
0.746401574868128,0,2
0.748861967799453,0,1
0.751322360730778,0,2
0.753782753662103,0,1
0.756243146593428,0,2
0.758703539524752,0,1
0.761163932456077,0,2
0.763624325387402,0,1
0.766084718318727,0,2
0.768545111250052,0,1
0.771005504181376,0,2
0.773465897112701,0,1
0.775926290044026,0,2
0.778386682975351,0,1
0.780847075906676,0,2
0.783307468838,0,1
0.785767861769325,0,2
0.78822825470065,0,1
0.790688647631975,0,2
0.793149040563299,0,1
0.795609433494624,0,2
0.798069826425949,0,1
0.800530219357274,0,2
0.802990612288599,0,1
0.805451005219924,0,2
0.807911398151248,0,1
0.810371791082573,0,2
0.812832184013898,0,1
0.815292576945223,0,2
0.817752969876548,0,1
0.820213362807872,0,2
0.822673755739197,0,1
0.825134148670522,0,2
0.827594541601847,0,1
0.830054934533172,0,2
0.832515327464496,0,1
0.834975720395821,0,2
0.837436113327146,0,1
0.839896506258471,0,2
0.842356899189796,0,1
0.84481729212112,0,2
0.847277685052445,0,1
0.84973807798377,0,2
0.852198470915095,0,1
0.85465886384642,0,2
0.857119256777744,0,1
0.859579649709069,0,2
0.862040042640394,0,1
0.864500435571719,0,2
0.866960828503043,0,1
0.869421221434368,0,2
0.871881614365693,0,1
0.874342007297018,0,2
0.876802400228343,0,1
0.879262793159667,0,2
0.881723186090992,0,1
0.884183579022317,0,2
0.886643971953642,0,1
0.889104364884967,0,2
0.891564757816292,0,1
0.894025150747616,0,2
0.896485543678941,0,1
0.898945936610266,0,2
0.901406329541591,0,1
0.903866722472916,0,2
0.90632711540424,0,1
0.908787508335565,0,2
0.91124790126689,0,1
0.913708294198215,0,2
0.91616868712954,0,1
0.918629080060864,0,2
0.921089472992189,0,1
0.923549865923514,0,2
0.926010258854839,0,1
0.928470651786164,0,2
0.930931044717488,0,1
0.933391437648813,0,2
0.935851830580138,0,1
0.938312223511463,0,2
0.940772616442788,0,1
0.943233009374112,0,2
0.945693402305437,0,1
0.948153795236762,0,2
0.950614188168087,0,1
0.953074581099411,0,2
0.955534974030736,0,1
0.957995366962061,0,2
0.960455759893386,0,1
0.962916152824711,0,2
0.965376545756035,0,1
0.96783693868736,0,2
0.970297331618685,0,1
0.97275772455001,0,2
0.975218117481335,0,1
0.97767851041266,0,2
0.980138903343984,0,1
0.982599296275309,0,2
0.985059689206634,0,1
0.987520082137959,0,2
0.989980475069284,0,1
0.992440868000608,0,2
0.994901260931933,0,1
0.997361653863258,0,2
0.999822046794583,0,1
1.00228243972591,0,2
1.00474283265723,0,1
1.00720322558856,0,2
1.00966361851988,0,1
1.01212401145121,0,2
1.01458440438253,0,1
1.01704479731386,0,2
1.01950519024518,0,1
1.02196558317651,0,2
1.02442597610783,0,1
1.02688636903916,0,2
1.02934676197048,0,1
1.03180715490181,0,2
1.03426754783313,0,1
1.03672794076445,0,2
1.03918833369578,0,1
1.0416487266271,0,2
1.04410911955843,0,1
1.04656951248975,0,2
1.04902990542108,0,1
1.0514902983524,0,2
1.05395069128373,0,1
1.05641108421505,0,2
1.05887147714638,0,1
1.0613318700777,0,2
1.06379226300903,0,1
1.06625265594035,0,2
1.06871304887168,0,1
1.071173441803,0,2
1.07363383473433,0,1
1.07609422766565,0,2
1.07855462059698,0,1
1.0810150135283,0,2
1.08347540645963,0,1
1.08593579939095,0,2
1.08839619232228,0,1
1.0908565852536,0,2
1.09331697818493,0,1
1.09577737111625,0,2
1.09823776404757,0,1
1.1006981569789,0,2
1.10315854991022,0,1
1.10561894284155,0,2
1.10807933577287,0,1
1.1105397287042,0,2
1.11300012163552,0,1
1.11546051456685,0,2
1.11792090749817,0,1
1.1203813004295,0,2
1.12284169336082,0,1
1.12530208629215,0,2
1.12776247922347,0,1
1.1302228721548,0,2
1.13268326508612,0,1
1.13514365801745,0,2
1.13760405094877,0,1
1.1400644438801,0,2
1.14252483681142,0,1
1.14498522974275,0,2
1.14744562267407,0,1
1.1499060156054,0,2
1.15236640853672,0,1
1.15482680146805,0,2
1.15728719439937,0,1
1.15974758733069,0,2
1.16220798026202,0,1
1.16466837319334,0,2
1.16712876612467,0,1
1.16958915905599,0,2
1.17204955198732,0,1
1.17450994491864,0,2
1.17697033784997,0,1
1.17943073078129,0,2
1.18189112371262,0,1
1.18435151664394,0,2
1.18681190957527,0,1
1.18927230250659,0,2
1.19173269543792,0,1
1.19419308836924,0,2
1.19665348130057,0,1
1.19911387423189,0,2
1.20157426716322,0,1
1.20403466009454,0,2
1.20649505302587,0,1
1.20895544595719,0,2
1.21141583888852,0,1
1.21387623181984,0,2
1.21633662475117,0,1
1.21879701768249,0,2
1.22125741061381,0,1
1.22371780354514,0,2
1.22617819647646,0,1
1.22863858940779,0,2
1.23109898233911,0,1
1.23355937527044,0,2
1.23601976820176,0,1
1.23848016113309,0,2
1.24094055406441,0,1
1.24340094699574,0,2
1.24586133992706,0,1
1.24832173285839,0,2
1.25078212578971,0,1
1.25324251872104,0,2
1.25570291165236,0,1
1.25816330458369,0,2
1.26062369751501,0,1
1.26308409044634,0,2
1.26554448337766,0,1
1.26800487630899,0,2
1.27046526924031,0,1
1.27292566217164,0,2
1.27538605510296,0,1
1.27784644803429,0,2
1.28030684096561,0,1
1.28276723389693,0,2
1.28522762682826,0,1
1.28768801975958,0,2
1.29014841269091,0,1
1.29260880562223,0,2
1.29506919855356,0,1
1.29752959148488,0,2
1.29998998441621,0,1
1.30245037734753,0,2
1.30491077027886,0,1
1.30737116321018,0,2
1.30983155614151,0,1
1.31229194907283,0,2
1.31475234200416,0,1
1.31721273493548,0,2
1.31967312786681,0,1
1.32213352079813,0,2
1.32459391372946,0,1
1.32705430666078,0,2
1.32951469959211,0,1
1.33197509252343,0,2
1.33443548545476,0,1
1.33689587838608,0,2
1.3393562713174,0,1
1.34181666424873,0,2
1.34427705718005,0,1
1.34673745011138,0,2
1.3491978430427,0,1
1.35165823597403,0,2
1.35411862890535,0,1
1.35657902183668,0,2
1.359039414768,0,1
1.36149980769933,0,2
1.36396020063065,0,1
1.36642059356198,0,2
1.3688809864933,0,1
1.37134137942463,0,2
1.37380177235595,0,1
1.37626216528728,0,2
1.3787225582186,0,1
1.38118295114993,0,2
1.38364334408125,0,1
1.38610373701258,0,2
1.3885641299439,0,1
1.39102452287523,0,2
1.39348491580655,0,1
1.39594530873788,0,2
1.3984057016692,0,1
1.40086609460052,0,2
1.40332648753185,0,1
1.40578688046317,0,2
1.4082472733945,0,1
1.41070766632582,0,2
1.41316805925715,0,1
1.41562845218847,0,2
1.4180888451198,0,1
1.42054923805112,0,2
1.42300963098245,0,1
1.42547002391377,0,2
1.4279304168451,0,1
1.43039080977642,0,2
1.43285120270775,0,1
1.43531159563907,0,2
1.4377719885704,0,1
1.44023238150172,0,2
1.44269277443305,0,1
1.44515316736437,0,2
1.4476135602957,0,1
1.45007395322702,0,2
1.45253434615835,0,1
1.45499473908967,0,2
1.457455132021,0,1
1.45991552495232,0,2
1.46237591788364,0,1
1.46483631081497,0,2
1.46729670374629,0,1
1.46975709667762,0,2
1.47221748960894,0,1
1.47467788254027,0,2
1.47713827547159,0,1
1.47959866840292,0,2
1.48205906133424,0,1
1.48451945426557,0,2
1.48697984719689,0,1
1.48944024012822,0,2
1.49190063305954,0,1
1.49436102599087,0,2
1.49682141892219,0,1
1.49928181185352,0,2
1.50174220478484,0,1
1.50420259771617,0,2
1.50666299064749,0,1
1.50912338357882,0,2
1.51158377651014,0,1
1.51404416944147,0,2
1.51650456237279,0,1
1.51896495530412,0,2
1.52142534823544,0,1
1.52388574116676,0,2
1.52634613409809,0,1
1.52880652702941,0,2
1.53126691996074,0,1
1.53372731289206,0,2
1.53618770582339,0,1
1.53864809875471,0,2
1.54110849168604,0,1
1.54356888461736,0,2
1.54602927754869,0,1
1.54848967048001,0,2
1.55095006341134,0,1
1.55341045634266,0,2
1.55587084927399,0,1
1.55833124220531,0,2
1.56079163513664,0,1
1.56325202806796,0,2
1.56571242099929,0,1
1.56817281393061,0,2
1.57063320686194,0,1
1.57309359979326,0,2
1.57555399272459,0,1
1.57801438565591,0,2
1.58047477858724,0,1
1.58293517151856,0,2
1.58539556444989,0,1
1.58785595738121,0,2
1.59031635031253,0,1
1.59277674324386,0,2
1.59523713617518,0,1
1.59769752910651,0,2
1.60015792203783,0,1
1.60261831496916,0,2
1.60507870790048,0,1
1.60753910083181,0,2
1.60999949376313,0,1
1.61245988669446,0,2
1.61492027962578,0,1
1.61738067255711,0,2
1.61984106548843,0,1
1.62230145841976,0,2
1.62476185135108,0,1
1.62722224428241,0,2
1.62968263721373,0,1
1.63214303014506,0,2
1.63460342307638,0,1
1.63706381600771,0,2
1.63952420893903,0,1
1.64198460187036,0,2
1.64444499480168,0,1
1.64690538773301,0,2
1.64936578066433,0,1
1.65182617359565,0,2
1.65428656652698,0,1
1.6567469594583,0,2
1.65920735238963,0,1
1.66166774532095,0,2
1.66412813825228,0,1
1.6665885311836,0,2
1.66904892411493,0,1
1.67150931704625,0,2
1.67396970997758,0,1
1.6764301029089,0,2
1.67889049584023,0,1
1.68135088877155,0,2
1.68381128170288,0,1
1.6862716746342,0,2
1.68873206756553,0,1
1.69119246049685,0,2
1.69365285342818,0,1
1.6961132463595,0,2
1.69857363929083,0,1
1.70103403222215,0,2
1.70349442515348,0,1
1.7059548180848,0,2
1.70841521101613,0,1
1.71087560394745,0,2
1.71333599687877,0,1
1.7157963898101,0,2
1.71825678274142,0,1
1.72071717567275,0,2
1.72317756860407,0,1
1.7256379615354,0,2
0.689367735838841,0,1
0.691965509210586,0,2
0.694563282582331,0,1
0.697161055954075,0,2
0.69975882932582,0,1
0.702356602697565,0,2
0.704954376069309,0,1
0.707552149441054,0,2
0.710149922812798,0,1
0.712747696184543,0,2
0.715345469556288,0,1
0.717943242928032,0,2
0.720541016299777,0,1
0.723138789671522,0,2
0.725736563043266,0,1
0.728334336415011,0,2
0.730932109786755,0,1
0.7335298831585,0,2
0.736127656530245,0,1
0.738725429901989,0,2
0.741323203273734,0,1
0.743920976645479,0,2
0.746518750017223,0,1
0.749116523388968,0,2
0.751714296760712,0,1
0.754312070132457,0,2
0.756909843504202,0,1
0.759507616875946,0,2
0.762105390247691,0,1
0.764703163619435,0,2
0.76730093699118,0,1
0.769898710362925,0,2
0.772496483734669,0,1
0.775094257106414,0,2
0.777692030478158,0,1
0.780289803849903,0,2
0.782887577221648,0,1
0.785485350593392,0,2
0.788083123965137,0,1
0.790680897336882,0,2
0.793278670708626,0,1
0.795876444080371,0,2
0.798474217452115,0,1
0.80107199082386,0,2
0.803669764195605,0,1
0.806267537567349,0,2
0.808865310939094,0,1
0.811463084310839,0,2
0.814060857682583,0,1
0.816658631054328,0,2
0.819256404426072,0,1
0.821854177797817,0,2
0.824451951169562,0,1
0.827049724541306,0,2
0.829647497913051,0,1
0.832245271284796,0,2
0.83484304465654,0,1
0.837440818028285,0,2
0.840038591400029,0,1
0.842636364771774,0,2
0.845234138143519,0,1
0.847831911515263,0,2
0.850429684887008,0,1
0.853027458258752,0,2
0.855625231630497,0,1
0.858223005002242,0,2
0.860820778373986,0,1
0.863418551745731,0,2
0.866016325117476,0,1
0.86861409848922,0,2
0.871211871860965,0,1
0.873809645232709,0,2
0.876407418604454,0,1
0.879005191976199,0,2
0.881602965347943,0,1
0.884200738719688,0,2
0.886798512091433,0,1
0.889396285463177,0,2
0.891994058834922,0,1
0.894591832206666,0,2
0.897189605578411,0,1
0.899787378950156,0,2
0.9023851523219,0,1
0.904982925693645,0,2
0.90758069906539,0,1
0.910178472437134,0,2
0.912776245808879,0,1
0.915374019180623,0,2
0.917971792552368,0,1
0.920569565924113,0,2
0.923167339295857,0,1
0.925765112667602,0,2
0.928362886039346,0,1
0.930960659411091,0,2
0.933558432782836,0,1
0.93615620615458,0,2
0.938753979526325,0,1
0.941351752898069,0,2
0.943949526269814,0,1
0.946547299641559,0,2
0.949145073013303,0,1
0.951742846385048,0,2
0.954340619756793,0,1
0.956938393128537,0,2
0.959536166500282,0,1
0.962133939872027,0,2
0.964731713243771,0,1
0.967329486615516,0,2
0.96992725998726,0,1
0.972525033359005,0,2
0.97512280673075,0,1
0.977720580102494,0,2
0.980318353474239,0,1
0.982916126845983,0,2
0.985513900217728,0,1
0.988111673589473,0,2
0.990709446961217,0,1
0.993307220332962,0,2
0.995904993704707,0,1
0.998502767076451,0,2
1.0011005404482,0,1
1.00369831381994,0,2
1.00629608719169,0,1
1.00889386056343,0,2
1.01149163393517,0,1
1.01408940730692,0,2
1.01668718067866,0,1
1.01928495405041,0,2
1.02188272742215,0,1
1.0244805007939,0,2
1.02707827416564,0,1
1.02967604753739,0,2
1.03227382090913,0,1
1.03487159428088,0,2
1.03746936765262,0,1
1.04006714102437,0,2
1.04266491439611,0,1
1.04526268776785,0,2
1.0478604611396,0,1
1.05045823451134,0,2
1.05305600788309,0,1
1.05565378125483,0,2
1.05825155462658,0,1
1.06084932799832,0,2
1.06344710137007,0,1
1.06604487474181,0,2
1.06864264811356,0,1
1.0712404214853,0,2
1.07383819485705,0,1
1.07643596822879,0,2
1.07903374160053,0,1
1.08163151497228,0,2
1.08422928834402,0,1
1.08682706171577,0,2
1.08942483508751,0,1
1.09202260845926,0,2
1.094620381831,0,1
1.09721815520275,0,2
1.09981592857449,0,1
1.10241370194624,0,2
1.10501147531798,0,1
1.10760924868973,0,2
1.11020702206147,0,1
1.11280479543321,0,2
1.11540256880496,0,1
1.1180003421767,0,2
1.12059811554845,0,1
1.12319588892019,0,2
1.12579366229194,0,1
1.12839143566368,0,2
1.13098920903543,0,1
1.13358698240717,0,2
1.13618475577892,0,1
1.13878252915066,0,2
1.14138030252241,0,1
1.14397807589415,0,2
1.14657584926589,0,1
1.14917362263764,0,2
1.15177139600938,0,1
1.15436916938113,0,2
1.15696694275287,0,1
1.15956471612462,0,2
1.16216248949636,0,1
1.16476026286811,0,2
1.16735803623985,0,1
1.1699558096116,0,2
1.17255358298334,0,1
1.17515135635509,0,2
1.17774912972683,0,1
1.18034690309857,0,2
1.18294467647032,0,1
1.18554244984206,0,2
1.18814022321381,0,1
1.19073799658555,0,2
1.1933357699573,0,1
1.19593354332904,0,2
1.19853131670079,0,1
1.20112909007253,0,2
1.20372686344428,0,1
1.20632463681602,0,2
1.20892241018777,0,1
1.21152018355951,0,2
1.21411795693125,0,1
1.216715730303,0,2
1.21931350367474,0,1
1.22191127704649,0,2
1.22450905041823,0,1
1.22710682378998,0,2
1.22970459716172,0,1
1.23230237053347,0,2
1.23490014390521,0,1
1.23749791727696,0,2
1.2400956906487,0,1
1.24269346402045,0,2
1.24529123739219,0,1
1.24788901076393,0,2
1.25048678413568,0,1
1.25308455750742,0,2
1.25568233087917,0,1
1.25828010425091,0,2
1.26087787762266,0,1
1.2634756509944,0,2
1.26607342436615,0,1
1.26867119773789,0,2
1.27126897110964,0,1
1.27386674448138,0,2
1.27646451785313,0,1
1.27906229122487,0,2
1.28166006459661,0,1
1.28425783796836,0,2
1.2868556113401,0,1
1.28945338471185,0,2
1.29205115808359,0,1
1.29464893145534,0,2
1.29724670482708,0,1
1.29984447819883,0,2
1.30244225157057,0,1
1.30504002494232,0,2
1.30763779831406,0,1
1.31023557168581,0,2
1.31283334505755,0,1
1.31543111842929,0,2
1.31802889180104,0,1
1.32062666517278,0,2
1.32322443854453,0,1
1.32582221191627,0,2
1.32841998528802,0,1
1.33101775865976,0,2
1.33361553203151,0,1
1.33621330540325,0,2
1.338811078775,0,1
1.34140885214674,0,2
1.34400662551849,0,1
1.34660439889023,0,2
1.34920217226197,0,1
1.35179994563372,0,2
1.35439771900546,0,1
1.35699549237721,0,2
1.35959326574895,0,1
1.3621910391207,0,2
1.36478881249244,0,1
1.36738658586419,0,2
1.36998435923593,0,1
1.37258213260768,0,2
1.37517990597942,0,1
1.37777767935117,0,2
1.38037545272291,0,1
1.38297322609465,0,2
1.3855709994664,0,1
1.38816877283814,0,2
1.39076654620989,0,1
1.39336431958163,0,2
1.39596209295338,0,1
1.39855986632512,0,2
1.40115763969687,0,1
1.40375541306861,0,2
1.40635318644036,0,1
1.4089509598121,0,2
1.41154873318385,0,1
1.41414650655559,0,2
1.41674427992733,0,1
1.41934205329908,0,2
1.42193982667082,0,1
1.42453760004257,0,2
1.42713537341431,0,1
1.42973314678606,0,2
1.4323309201578,0,1
1.43492869352955,0,2
1.43752646690129,0,1
1.44012424027304,0,2
1.44272201364478,0,1
1.44531978701653,0,2
1.44791756038827,0,1
1.45051533376001,0,2
1.45311310713176,0,1
1.4557108805035,0,2
1.45830865387525,0,1
1.46090642724699,0,2
1.46350420061874,0,1
1.46610197399048,0,2
1.46869974736223,0,1
1.47129752073397,0,2
1.47389529410572,0,1
1.47649306747746,0,2
1.47909084084921,0,1
1.48168861422095,0,2
1.48428638759269,0,1
1.48688416096444,0,2
1.48948193433618,0,1
1.49207970770793,0,2
1.49467748107967,0,1
1.49727525445142,0,2
1.49987302782316,0,1
1.50247080119491,0,2
1.50506857456665,0,1
1.5076663479384,0,2
1.51026412131014,0,1
1.51286189468189,0,2
1.51545966805363,0,1
1.51805744142538,0,2
1.52065521479712,0,1
1.52325298816886,0,2
1.52585076154061,0,1
1.52844853491235,0,2
1.5310463082841,0,1
1.53364408165584,0,2
1.53624185502759,0,1
1.53883962839933,0,2
1.54143740177108,0,1
1.54403517514282,0,2
1.54663294851457,0,1
1.54923072188631,0,2
1.55182849525805,0,1
1.5544262686298,0,2
1.55702404200154,0,1
1.55962181537329,0,2
1.56221958874503,0,1
1.56481736211678,0,2
1.56741513548852,0,1
1.57001290886027,0,2
1.57261068223201,0,1
1.57520845560376,0,2
1.5778062289755,0,1
1.58040400234725,0,2
1.58300177571899,0,1
1.58559954909074,0,2
1.58819732246248,0,1
1.59079509583422,0,2
1.59339286920597,0,1
1.59599064257771,0,2
1.59858841594946,0,1
1.6011861893212,0,2
1.60378396269295,0,1
1.60638173606469,0,2
1.60897950943644,0,1
1.61157728280818,0,2
1.61417505617993,0,1
1.61677282955167,0,2
1.61937060292342,0,1
1.62196837629516,0,2
1.6245661496669,0,1
1.62716392303865,0,2
1.62976169641039,0,1
1.63235946978214,0,2
1.63495724315388,0,1
1.63755501652563,0,2
1.64015278989737,0,1
1.64275056326912,0,2
1.64534833664086,0,1
1.64794611001261,0,2
1.65054388338435,0,1
1.6531416567561,0,2
1.65573943012784,0,1
1.65833720349958,0,2
1.66093497687133,0,1
1.66353275024307,0,2
1.66613052361482,0,1
1.66872829698656,0,2
1.67132607035831,0,1
1.67392384373005,0,2
1.6765216171018,0,1
1.67911939047354,0,2
1.68171716384529,0,1
1.68431493721703,0,2
1.68691271058878,0,1
1.68951048396052,0,2
1.69210825733226,0,1
1.69470603070401,0,2
1.69730380407575,0,1
1.6999015774475,0,2
1.70249935081924,0,1
1.70509712419099,0,2
1.70769489756273,0,1
1.71029267093448,0,2
1.71289044430622,0,1
1.71548821767797,0,2
1.71808599104971,0,1
1.72068376442146,0,2
1.7232815377932,0,1
1.72587931116494,0,2
1.72847708453669,0,1
1.73107485790843,0,2
1.73367263128018,0,1
1.73627040465192,0,2
1.73886817802367,0,1
1.74146595139541,0,2
1.74406372476716,0,1
1.7466614981389,0,2
1.74925927151065,0,1
1.75185704488239,0,2
1.75445481825414,0,1
1.75705259162588,0,2
1.75965036499762,0,1
1.76224813836937,0,2
1.76484591174111,0,1
1.76744368511286,0,2
1.7700414584846,0,1
1.77263923185635,0,2
1.77523700522809,0,1
1.77783477859984,0,2
1.78043255197158,0,1
1.78303032534333,0,2
1.78562809871507,0,1
1.78822587208682,0,2
1.79082364545856,0,1
1.7934214188303,0,2
1.79601919220205,0,1
1.79861696557379,0,2
1.80121473894554,0,1
1.80381251231728,0,2
1.80641028568903,0,1
1.80900805906077,0,2
1.81160583243252,0,1
1.81420360580426,0,2
1.81680137917601,0,1
1.81939915254775,0,2
1.8219969259195,0,1
1.82459469929124,0,2
1.82719247266298,0,1
1.82979024603473,0,2
1.83238801940647,0,1
1.83498579277822,0,2
1.83758356614996,0,1
1.84018133952171,0,2
1.84277911289345,0,1
1.8453768862652,0,2
1.84797465963694,0,1
1.85057243300869,0,2
1.85317020638043,0,1
1.85576797975218,0,2
1.85836575312392,0,1
1.86096352649566,0,2
1.86356129986741,0,1
1.86615907323915,0,2
1.8687568466109,0,1
1.87135461998264,0,2
1.87395239335439,0,1
1.87655016672613,0,2
1.87914794009788,0,1
1.88174571346962,0,2
1.88434348684137,0,1
1.88694126021311,0,2
1.88953903358486,0,1
1.8921368069566,0,2
1.89473458032834,0,1
1.89733235370009,0,2
1.89993012707183,0,1
1.90252790044358,0,2
1.90512567381532,0,1
1.90772344718707,0,2
1.91032122055881,0,1
1.91291899393056,0,2
1.9155167673023,0,1
1.91811454067405,0,2
1.92071231404579,0,1
1.92331008741754,0,2
1.92590786078928,0,1
1.92850563416102,0,2
1.93110340753277,0,1
1.93370118090451,0,2
1.93629895427626,0,1
1.938896727648,0,2
1.94149450101975,0,1
1.94409227439149,0,2
1.94669004776324,0,1
1.94928782113498,0,2
1.95188559450673,0,1
1.95448336787847,0,2
1.95708114125022,0,1
1.95967891462196,0,2
1.96227668799371,0,1
1.96487446136545,0,2
1.96747223473719,0,1
1.97007000810894,0,2
1.97266778148068,0,1
1.97526555485243,0,2
1.97786332822417,0,1
1.98046110159592,0,2
1.98305887496766,0,1
1.98565664833941,0,2
1.98825442171115,0,1
1.9908521950829,0,2
1.99344996845464,0,1
1.99604774182638,0,2
1.99864551519813,0,1
2.00124328856987,0,2
2.00384106194162,0,1
2.00643883531336,0,2
2.00903660868511,0,1
2.01163438205685,0,2
2.0142321554286,0,1
2.01682992880034,0,2
